prov_insc;anio_div;anio_mat;dur_mat;cau_div;edad_hom;niv_insth;edad_muj;niv_instm
Guayas;2018;1989;28;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;64;Secundaria;66; Secundaria
Guayas;2018;1979;38;Por mutuo consentimiento vía notarial;62;Secundaria;63; Secundaria
Guayas;2018;1989;29;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;56;Secundaria;50; Secundaria
Guayas;2018;1989;29;Por mutuo consentimiento vía notarial;50;Secundaria;49; Secundaria
Guayas;2018;1985;33;Por mutuo consentimiento vía notarial;53;Secundaria;56; Secundaria
Guayas;2018;2001;16;Por mutuo consentimiento vía notarial;55;Secundaria;39; Secundaria
Guayas;2018;1995;23;Por mutuo consentimiento vía judicial;47;Secundaria;45; Secundaria
Guayas;2018;1989;28;Por mutuo consentimiento vía notarial;51;Secundaria;52; Secundaria
Guayas;2018;1989;28;Por mutuo consentimiento vía judicial;54;Secundaria;44; Secundaria
Guayas;2018;1989;28;Por mutuo consentimiento vía judicial;54;Secundaria;49; Secundaria
Santa Elena;2018;1998;20;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;53;Educación media / Bachillerato;54; Secundaria
Guayas;2018;1996;21;Por mutuo consentimiento vía judicial;50;Secundaria;42; Secundaria
Guayas;2017;1988;29;Por mutuo consentimiento vía notarial;50;Secundaria;50; Secundaria
Guayas;2017;2011;6;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;37;Superior Universitario;34; Superior Universitario
Guayas;2018;2002;16;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;50;Secundaria;41; Secundaria
Guayas;2018;2008;9;Por mutuo consentimiento vía judicial;49;Secundaria;31; Secundaria
Santa Elena;2018;1990;28;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;46;Educación media / Bachillerato;48; Educación básica
Guayas;2018;1998;20;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;45;Secundaria;46; Secundaria
Guayas;2018;2011;7;Por mutuo consentimiento vía notarial;45;Superior Universitario;48; Secundaria
Guayas;2018;2003;14;Por mutuo consentimiento vía notarial;46;Secundaria;40; Secundaria
Guayas;2018;1991;26;Por mutuo consentimiento vía notarial;45;Secundaria;46; Secundaria
Guayas;2018;1998;20;Por mutuo consentimiento vía judicial;44;Secundaria;44; Secundaria
Cañar;2017;1997;20;Por mutuo consentimiento vía judicial;43;Primaria;38; Primaria
Santa Elena;2018;1993;24;Por mutuo consentimiento vía notarial;43;Educación básica;40; Superior Universitario
Guayas;2018;2003;15;Por mutuo consentimiento vía judicial;38;Secundaria;37; Secundaria
Azuay;2018;2015;2;Por mutuo consentimiento vía judicial;37;Educación media / Bachillerato;27; Educación media / Bachillerato
Guayas;2018;2012;6;Por mutuo consentimiento vía judicial;34;Secundaria;30; Secundaria
Guayas;2018;2011;6;Por mutuo consentimiento vía judicial;36;Secundaria;32; Superior Universitario
Guayas;2018;2002;15;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;36;Secundaria;35; Secundaria
Guayas;2018;2015;2;Por mutuo consentimiento vía notarial;32;Secundaria;27; Secundaria
Guayas;2017;2014;3;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;29;Superior Universitario;27; Superior Universitario
Guayas;2018;2015;2;Sin Información;27;Superior Universitario;26; Educación media / Bachillerato
Guayas;2018;2010;7;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;27;Superior Universitario;27; Superior Universitario
Guayas;2017;2013;4;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;30;Secundaria;26; Secundaria
Guayas;2016;2014;2;Por mutuo consentimiento vía notarial;29;Educación media / Bachillerato;26; Educación media / Bachillerato
Guayas;2018;2014;3;Por mutuo consentimiento vía judicial;26;Educación básica;23; Educación media / Bachillerato
Guayas;2018;2006;12;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;32;Secundaria;40; Secundaria
Guayas;2018;2012;6;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;41;Secundaria;42; Secundaria
Guayas;2018;2014;4;Por mutuo consentimiento vía judicial;29;Educación media / Bachillerato;24; Superior Universitario
Santa Elena;2016;2011;4;Por mutuo consentimiento vía judicial;28;Educación media / Bachillerato;23; Educación básica
Santa Elena;2018;2017;1;Por mutuo consentimiento vía notarial;23;Educación media / Bachillerato;38; Educación media / Bachillerato
Imbabura;2018;1982;35;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;61;Primaria;55; Primaria
Imbabura;2018;1969;48;Por mutuo consentimiento vía notarial;70;Primaria;73; Primaria
Imbabura;2018;1985;33;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;56;Primaria;56; Primaria
Imbabura;2018;1989;28;Por mutuo consentimiento vía notarial;55;Educación básica;53; Educación básica
Imbabura;2018;2017;0;Por mutuo consentimiento vía notarial;47;Educación básica;38; Educación básica
Pichincha;2018;2001;16;Por mutuo consentimiento vía judicial;47;Educación básica;39; Educación básica
Imbabura;2018;2014;4;Por mutuo consentimiento vía judicial;43;Primaria;35; Primaria
Pichincha;2018;2007;11;Por mutuo consentimiento vía judicial;34;Superior Universitario;32; Educación media / Bachillerato
Imbabura;2018;2005;12;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;32;Educación básica;30; Educación básica
Imbabura;2018;2004;13;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;33;Primaria;44; Primaria
Imbabura;2018;2008;9;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;33;Primaria;31; Primaria
Loja;2018;1984;33;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;55;Secundaria;56; Primaria
Loja;2016;1989;26;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;49;Primaria;47; Secundaria
Loja;2018;2004;13;Por mutuo consentimiento vía judicial;43;Superior Universitario;36; Posgrado
Loja;2018;2009;9;El que uno de los cónyuges sea ebrio consuetudinario o toxicómano;43;Superior Universitario;56; Superior Universitario
Loja;2018;2007;11;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;42;Primaria;33; Secundaria
Loja;2018;2009;8;Por mutuo consentimiento vía judicial;36;Primaria;31; Secundaria
Los Ríos;2018;1980;38;Por mutuo consentimiento vía notarial;59;Superior no Universitario;61; Superior no Universitario
Pichincha;2018;1993;24;Por mutuo consentimiento vía notarial;45;Educación media / Bachillerato;58; Educación media / Bachillerato
Bolívar;2018;2003;14;Por mutuo consentimiento vía judicial;38;Educación media / Bachillerato;46; Educación media / Bachillerato
Los Ríos;2018;2006;12;El que uno de los cónyuges sea ebrio consuetudinario o toxicómano;35;Educación media / Bachillerato;31; Educación media / Bachillerato
Los Ríos;2018;2000;18;Por mutuo consentimiento vía judicial;36;Educación básica;33; Educación media / Bachillerato
Pichincha;2017;2010;7;Por mutuo consentimiento vía judicial;36;Educación media / Bachillerato;32; Educación media / Bachillerato
Pichincha;2018;2010;7;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;29;Secundaria;40; Secundaria
Bolívar;2018;2013;4;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;32;Superior no Universitario;28; Superior no Universitario
Manabí;2018;1978;40;Por mutuo consentimiento vía notarial;71;Primaria;60; Educación básica
El Oro;2018;1980;37;Por mutuo consentimiento vía notarial;69;Secundaria;58; Secundaria
Manabí;2018;1993;24;Por mutuo consentimiento vía judicial;57;Primaria;39; Educación básica
Manabí;2018;2004;14;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;59;Educación media / Bachillerato;33; Educación media / Bachillerato
Manabí;2018;2002;16;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;49;Educación media / Bachillerato;50; Educación media / Bachillerato
Manabí;2016;1994;21;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;45;Educación media / Bachillerato;40; Educación media / Bachillerato
Manabí;2018;1998;20;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;49;Educación media / Bachillerato;55; Educación media / Bachillerato
Manabí;2018;2000;18;Por mutuo consentimiento vía judicial;47;Educación media / Bachillerato;37; Superior Universitario
Manabí;2018;2005;12;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;46;Educación básica;30; Educación media / Bachillerato
Manabí;2018;1994;23;Por mutuo consentimiento vía judicial;43;Secundaria;44; Educación media / Bachillerato
Manabí;2018;1994;24;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;45;Educación media / Bachillerato;41; Educación media / Bachillerato
Manabí;2018;2007;10;Por mutuo consentimiento vía judicial;41;Educación media / Bachillerato;38; Educación media / Bachillerato
Manabí;2018;2012;6;Por mutuo consentimiento vía judicial;28;Superior Universitario;27; Superior Universitario
Santo Domingo de los Tsáchilas;2017;2009;8;Por mutuo consentimiento vía judicial;33;Superior Universitario;36; Educación media / Bachillerato
Manabí;2018;2012;5;Por mutuo consentimiento vía judicial;33;Educación media / Bachillerato;23; Primaria
Pichincha;2018;2013;4;Por mutuo consentimiento vía judicial;34;Educación básica;26; Educación básica
Manabí;2017;2003;13;Por mutuo consentimiento vía judicial;37;Educación media / Bachillerato;30; Educación media / Bachillerato
Manabí;2018;2010;7;La condena ejecutoriada a pena privativa de la libertad mayor a diez años;29;Superior Universitario;28; Superior Universitario
Manabí;2018;2010;7;Por mutuo consentimiento vía judicial;25;Educación media / Bachillerato;29; Educación media / Bachillerato
Manabí;2018;2015;2;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;23;Educación media / Bachillerato;30; Superior Universitario
Guayas;2018;2014;4;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;45;Educación básica;45; Educación básica
Azuay;2018;1979;38;Por mutuo consentimiento vía notarial;59;Superior Universitario;60; Secundaria
Pichincha;2017;2000;16;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;43;Posgrado;39; Superior Universitario
Orellana;2018;2002;16;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;39;Secundaria;34; Primaria
Orellana;2017;2007;10;Por mutuo consentimiento vía judicial;29;Secundaria;29; Secundaria
Pastaza;2018;2006;11;Por mutuo consentimiento vía judicial;46;Educación media / Bachillerato;36; Educación básica
Pastaza;2017;1999;17;Por mutuo consentimiento vía judicial;48;Educación media / Bachillerato;50; Primaria
Pastaza;2018;2014;3;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;27;Superior Universitario;19; Educación media / Bachillerato
Pichincha;2017;2016;1;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;29;Educación básica;23; Educación básica
Pichincha;2018;1971;46;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;70;Educación básica;70; Educación básica
Pichincha;2018;1966;51;Por mutuo consentimiento vía notarial;76;Educación básica;67; Educación básica
Santa Elena;2018;2016;2;Por mutuo consentimiento vía notarial;71;Educación media / Bachillerato;55; Educación media / Bachillerato
Pichincha;2018;1972;45;Por mutuo consentimiento vía notarial;67;Superior Universitario;68; Educación media / Bachillerato
Pichincha;2018;1999;18;Por mutuo consentimiento vía notarial;66;Educación media / Bachillerato;49; Superior no Universitario
Pichincha;2017;1990;27;Por mutuo consentimiento vía notarial;59;Superior Universitario;47; Educación media / Bachillerato
Pichincha;2018;2001;16;Por mutuo consentimiento vía judicial;57;Secundaria;51; Educación media / Bachillerato
Pichincha;2018;1990;28;Por mutuo consentimiento vía notarial;57;Superior no Universitario;53; Educación media / Bachillerato
Imbabura;2018;1983;34;Por mutuo consentimiento vía notarial;58;Secundaria;58; Secundaria
Pichincha;2018;1987;31;Por mutuo consentimiento vía notarial;55;Educación media / Bachillerato;56; Educación media / Bachillerato
Pichincha;2018;2000;18;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;56;Educación media / Bachillerato;55; Educación básica
Pichincha;2018;2002;15;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;53;Educación media / Bachillerato;51; Educación media / Bachillerato
Pichincha;2018;1994;23;Por mutuo consentimiento vía notarial;49;Secundaria;55; Educación media / Bachillerato
Pichincha;2015;2005;9;Por mutuo consentimiento vía judicial;49;Educación media / Bachillerato;45; Educación media / Bachillerato
Imbabura;2017;1993;23;Por mutuo consentimiento vía judicial;49;Secundaria;44; Secundaria
Pichincha;2018;1992;26;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;49;Educación media / Bachillerato;48; Educación media / Bachillerato
Pichincha;2017;1989;27;Por mutuo consentimiento vía notarial;52;Educación media / Bachillerato;52; Educación media / Bachillerato
Pichincha;2018;1990;27;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;51;Superior Universitario;52; Superior Universitario
Pichincha;2018;1994;24;Por mutuo consentimiento vía judicial;50;Educación básica;43; Educación media / Bachillerato
Pichincha;2018;2012;6;Por mutuo consentimiento vía judicial;34;Educación media / Bachillerato;33; Educación media / Bachillerato
Pichincha;2018;1990;28;Por mutuo consentimiento vía notarial;48;Educación media / Bachillerato;53; Educación media / Bachillerato
Pichincha;2017;1999;18;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;49;Educación media / Bachillerato;49; Educación media / Bachillerato
Pichincha;2018;1994;23;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;50;Educación media / Bachillerato;48; Superior Universitario
Los Ríos;2014;1991;22;Por mutuo consentimiento vía judicial;49;Educación media / Bachillerato;44; Educación media / Bachillerato
Pichincha;2018;1994;23;Por mutuo consentimiento vía judicial;45;Superior Universitario;45; Educación básica
Sucumbíos;2017;2003;14;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;52;Educación básica;48; Educación básica
Pichincha;2018;1992;26;Por mutuo consentimiento vía notarial;50;Educación media / Bachillerato;44; Educación media / Bachillerato
Pichincha;2018;1996;21;Por mutuo consentimiento vía notarial;49;Educación media / Bachillerato;50; Superior no Universitario
Pichincha;2018;1993;25;Por mutuo consentimiento vía notarial;47;Educación media / Bachillerato;46; Educación media / Bachillerato
Pichincha;2018;1999;19;Por mutuo consentimiento vía judicial;48;Superior no Universitario;46; Superior no Universitario
Pichincha;2018;1989;28;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;47;Educación media / Bachillerato;43; Educación media / Bachillerato
Pichincha;2018;1991;26;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;45;Superior Universitario;48; Superior Universitario
Pichincha;2018;2005;12;Por mutuo consentimiento vía notarial;41;Educación media / Bachillerato;40; Educación media / Bachillerato
Pichincha;2018;1993;25;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;46;Educación media / Bachillerato;44; Educación media / Bachillerato
Pichincha;2018;1994;24;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;46;Educación media / Bachillerato;43; Educación media / Bachillerato
Pichincha;2018;1992;25;La condena ejecutoriada a pena privativa de la libertad mayor a diez años;42;Educación media / Bachillerato;45; Educación media / Bachillerato
Pichincha;2018;2008;10;Por mutuo consentimiento vía notarial;35;Superior no Universitario;35; Superior no Universitario
Santo Domingo de los Tsáchilas;2018;2000;18;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;44;Superior Universitario;39; Educación media / Bachillerato
Pichincha;2018;1997;21;Por mutuo consentimiento vía judicial;43;Educación media / Bachillerato;43; Educación media / Bachillerato
Sucumbíos;2017;1999;18;Por mutuo consentimiento vía judicial;42;Educación media / Bachillerato;38; Educación media / Bachillerato
Pichincha;2018;2010;7;Por mutuo consentimiento vía notarial;41;Superior Universitario;35; Superior Universitario
Pichincha;2018;2014;4;Por mutuo consentimiento vía judicial;39;Educación básica;33; Educación básica
Pichincha;2017;2000;17;Por mutuo consentimiento vía judicial;42;Educación media / Bachillerato;39; Educación media / Bachillerato
Pichincha;2017;1996;20;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;40;Educación básica;38; Educación media / Bachillerato
Pichincha;2018;2002;15;Por mutuo consentimiento vía judicial;39;Educación media / Bachillerato;36; Educación media / Bachillerato
Manabí;2018;2001;16;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;37;Educación básica;31; Educación básica
Pichincha;2017;2010;6;Por mutuo consentimiento vía judicial;31;Educación media / Bachillerato;32; Educación media / Bachillerato
Azuay;2018;2012;5;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;40;Educación media / Bachillerato;43; Posgrado
Pichincha;2017;2007;10;Por mutuo consentimiento vía judicial;35;Educación media / Bachillerato;35; Primaria
Chimborazo;2018;2016;2;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;28;Primaria;21; Educación media / Bachillerato
Pichincha;2014;2003;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;35;Secundaria;29; Educación básica
Pichincha;2018;1997;20;Por mutuo consentimiento vía judicial;40;Educación básica;37; Educación media / Bachillerato
Pichincha;2018;2000;18;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;39;Educación media / Bachillerato;49; Superior Universitario
Pichincha;2018;2010;7;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;30;Superior Universitario;30; Superior Universitario
Pichincha;2018;2003;15;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;36;Educación básica;43; Educación básica
Pichincha;2018;2008;10;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;38;Educación media / Bachillerato;34; Superior no Universitario
Pichincha;2018;2014;3;Por mutuo consentimiento vía judicial;24;Educación media / Bachillerato;23; Educación media / Bachillerato
Esmeraldas;2018;2013;4;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial;40;Educación media / Bachillerato;39; Superior Universitario
Pichincha;2018;2006;11;Por mutuo consentimiento vía judicial;36;Superior Universitario;30; Educación media / Bachillerato
Manabí;2018;2011;7;Por mutuo consentimiento vía notarial;37;Educación media / Bachillerato;50; Superior Universitario
Pichincha;2018;2005;12;Por mutuo consentimiento vía judicial;34;Educación media / Bachillerato;36; Educación media / Bachillerato
Imbabura;2018;2003;15;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;34;Primaria;34; Primaria
Pichincha;2017;2007;10;Por mutuo consentimiento vía judicial;30;Secundaria;29; Educación media / Bachillerato
Pichincha;2017;2002;15;Por mutuo consentimiento vía judicial;35;Primaria;34; Educación básica
Pichincha;2018;2010;7;Por mutuo consentimiento vía judicial;29;Educación básica;31; Superior Universitario
Pichincha;2018;2010;7;Por mutuo consentimiento vía judicial;26;Superior no Universitario;23; Educación básica
